Date,Time,Irradiance
12/26/2024,14:04:20,000.0
12/26/2024,14:14:20,000.0
12/26/2024,14:24:20,000.0
12/26/2024,14:34:20,000.0
12/26/2024,14:44:20,000.0
12/26/2024,14:54:20,000.0
12/26/2024,15:04:20,000.0
12/26/2024,15:14:20,000.0
12/26/2024,15:24:20,000.0
12/26/2024,15:34:20,000.0
12/26/2024,15:44:20,000.0
12/26/2024,15:54:20,000.0
12/26/2024,16:04:20,000.0
12/26/2024,16:14:20,000.0
12/26/2024,16:24:20,000.0
12/26/2024,16:34:20,000.0
12/26/2024,16:44:20,000.0
12/26/2024,16:54:20,000.0
12/26/2024,17:04:20,000.0
12/26/2024,17:14:20,000.0
12/26/2024,17:24:20,000.0
12/26/2024,17:34:20,000.0
12/26/2024,17:44:20,000.0
12/26/2024,17:54:20,000.0
12/26/2024,18:04:20,000.0
12/26/2024,18:14:20,000.0
12/26/2024,18:24:20,000.0
12/26/2024,18:34:20,000.0
12/26/2024,18:44:20,000.0
12/26/2024,18:54:20,000.0
12/26/2024,19:04:20,000.0
12/26/2024,19:14:20,000.0
12/26/2024,19:24:20,000.0
12/26/2024,19:34:20,000.0
12/26/2024,19:44:20,000.0
12/26/2024,19:54:20,000.0
12/26/2024,20:04:20,000.0
12/26/2024,20:14:20,000.0
12/26/2024,20:24:20,000.0
12/26/2024,20:34:20,000.0
12/26/2024,20:44:20,000.0
12/26/2024,20:54:20,000.0
12/26/2024,21:04:20,000.0
12/26/2024,21:14:20,000.0
12/26/2024,21:24:20,000.0
12/26/2024,21:34:20,000.0
12/26/2024,21:44:20,000.0
12/26/2024,21:54:20,000.0
12/26/2024,22:04:20,000.0
12/26/2024,22:14:20,000.0
12/26/2024,22:24:20,000.0
12/26/2024,22:34:20,000.1
12/26/2024,22:44:20,000.8
12/26/2024,22:54:20,003.7
12/26/2024,23:04:20,008.0
12/26/2024,23:14:20,013.8
12/26/2024,23:24:20,021.6
12/26/2024,23:34:20,032.5
12/26/2024,23:44:20,043.1
12/26/2024,23:54:20,038.5
12/27/2024,0:04:20,044.8
12/27/2024,0:14:20,066.5
12/27/2024,0:24:20,100.9
12/27/2024,0:34:20,115.8
12/27/2024,0:44:20,136.6
12/27/2024,0:54:20,175.8
12/27/2024,1:04:20,199.9
12/27/2024,1:14:20,217.2
12/27/2024,1:24:20,226.7
12/27/2024,1:34:20,244.4
12/27/2024,1:44:20,255.6
12/27/2024,1:54:20,388.6
12/27/2024,2:04:20,400.6
12/27/2024,2:14:20,297.9
12/27/2024,2:24:20,263.3
12/27/2024,2:34:20,282.8
12/27/2024,2:44:20,315.8
12/27/2024,2:54:20,323.5
12/27/2024,3:04:20,318.9
12/27/2024,3:14:20,339.2
12/27/2024,3:24:20,408.5
12/27/2024,3:34:20,381.6
12/27/2024,3:44:20,352.5
12/27/2024,3:54:20,463.4
12/27/2024,4:04:20,340.6
12/27/2024,4:14:20,402.0
12/27/2024,4:24:20,353.4
12/27/2024,4:34:20,365.4
12/27/2024,4:44:20,400.4
12/27/2024,4:54:20,353.5
12/27/2024,5:04:20,383.0
12/27/2024,5:14:20,316.4
12/27/2024,5:24:20,296.6
12/27/2024,5:34:20,386.3
12/27/2024,5:44:20,508.1
12/27/2024,5:54:20,410.1
12/27/2024,6:04:20,446.0
12/27/2024,6:14:20,457.2
12/27/2024,6:24:20,450.6
12/27/2024,6:34:20,468.0
12/27/2024,6:44:20,448.9
12/27/2024,6:54:20,422.8
12/27/2024,7:04:20,397.8
12/27/2024,7:14:20,446.2
12/27/2024,7:24:20,436.7
12/27/2024,7:34:20,368.3
12/27/2024,7:44:20,314.3
12/27/2024,7:54:20,291.6
12/27/2024,8:04:20,302.4
12/27/2024,8:14:20,314.5
12/27/2024,8:24:20,282.3
12/27/2024,8:34:20,262.9
12/27/2024,8:44:20,247.3
12/27/2024,8:54:20,250.6
12/27/2024,9:04:20,251.0
12/27/2024,9:14:20,241.2
12/27/2024,9:24:20,192.2
12/27/2024,9:34:20,148.8
12/27/2024,9:44:20,125.1
12/27/2024,9:54:20,103.6
12/27/2024,10:04:20,089.3
12/27/2024,10:14:20,079.6
12/27/2024,10:24:20,065.6
12/27/2024,10:34:20,046.6
12/27/2024,10:44:20,028.3
12/27/2024,10:54:20,014.0
12/27/2024,11:04:20,003.3
12/27/2024,11:14:20,001.2
12/27/2024,11:24:20,000.0
12/27/2024,11:34:20,000.0
12/27/2024,11:44:20,000.0
12/27/2024,11:54:20,000.0
12/27/2024,12:04:20,000.0
12/27/2024,12:14:20,000.0
12/27/2024,12:24:20,000.0
12/27/2024,12:34:20,000.0
12/27/2024,12:44:20,000.0
12/27/2024,12:54:20,000.0
12/27/2024,13:04:20,000.0
12/27/2024,13:14:20,000.0
12/27/2024,13:24:20,000.0
12/27/2024,13:34:20,000.0
12/27/2024,13:44:20,000.0
12/27/2024,13:54:20,000.0
12/27/2024,14:04:20,000.0
12/27/2024,14:14:20,000.0
12/27/2024,14:24:20,000.0
12/27/2024,14:34:20,000.0
12/27/2024,14:44:20,000.0
